CODE SECTION,CODE TYPE,StatuteLiteral,OFFENSE LEVEL,EnactDate,RepealAmendDate,_section,_subparts,_subdivision,_paragraph,_subparagraph,_clause
322,PC,AID LOTTERIES,M,18720101,99999999,322,,,,,
323,PC,KEEP/AD LOTTERY OFFICE,M,18720101,99999999,323,,,,,
324,PC,INSURE LOTTERY TICKETS,M,18720101,99999999,324,,,,,
326,PC,LET BUILDING FOR LOTTERY,M,18720101,20201104,326,,,,,
326,PC,LET BLDG/VESS FOR LOTTERY,M,20201105,99999999,326,,,,,
326.5(B),PC,REC/PAY BINGO GM WAGE/ETC,M,19760101,99999999,326.5,(B),(B),,,
326.5(N),PC,BINGO PRIZE EXCEEDS MAX,M,19820101,99999999,326.5,(N),(N),,,
327,PC,ENDLESS CHAIN SCHEME,F,19900101,99999999,327,,,,,
330,PC,GAMBLING,M,18720101,99999999,330,,,,,
330.1,PC,MFG/SELL/POSS GAMING DEV,M,19500715,20201112,330.1,,,,,
330.1(A),PC,MFG/SELL/POSS GAMING DVC,M,20201113,99999999,330.1,(A),(A),,,
330.4,PC,POSS/CONTROL SLOT MACHINE,M,19500715,99999999,330.4,,,,,
330A,PC,POSS/CONTROL SLOT MACHINE,M,19110101,20201111,330A,,,,,
330A(A),PC,POSS/CONTROL SLOT MACHINE,M,20201112,99999999,330A,(A),(A),,,
330B(A),PC,MFG/SELL SLOT MACHINE,M,20050101,99999999,330B,(A),(A),,,
330C,PC,PUNCHBOARDS,M,19530909,99999999,330C,,,,,
331,PC,PERMIT GAMBLING IN HOUSE,M,18720101,99999999,331,,,,,
332(A),PC,OBT MON:FRAUD:CARDS/ETC,M,19920101,99999999,332,(A),(A),,,
332(A),PC,OBT $:FRAUD:CARDS $400+,F,19920101,20201102,332,(A),(A),,,
332(A),PC,OBT MONEY FRD CARDS $950+,F,20201103,99999999,332,(A),(A),,,
333,PC,WITNESS FTA AT TRIAL,M,18720101,99999999,333,,,,,
334(A),PC,HIDDEN DEVICE TO DEFRAUD,M,19750101,99999999,334,(A),(A),,,
334(A),PC,HIDDEN DEVICE TO DEFRAUD,F,19750101,99999999,334,(A),(A),,,
334(B),PC,MFG/ETC MECH DEV:DEFRAUD,M,19750101,99999999,334,(B),(B),,,
334(C),PC,OWN/OPR RAZZLE-DAZZL GAME,M,19750101,99999999,334,(C),(C),,,
335,PC,FAIL ENFORCE GAMING LAWS,M,18720101,99999999,335,,,,,
336,PC,LET MNR GAMBLE IN SALOON,M,18720101,99999999,336,,,,,
336.9(A),PC,PARTICIPATES BETTING POOL,I,20100101,99999999,336.9,(A),(A),,,
337,PC,GAMING VIOLATION,F,18720101,20201108,337,,,,,
337,PC,ASK/TAKE BRIBE FRM VIOLTR,F,20201109,99999999,337,,,,,
337.1,PC,TOUTING,M,19450915,99999999,337.1,,,,,
337.2,PC,TOUTING/ATTEMPT TOUTING,M,19450915,99999999,337.2,,,,,
337.2,PC,TOUTING/ATTEMPT TOUTING,F,19450915,99999999,337.2,,,,,
337.3,PC,USE RACE OFFCL NAME:TOUT,F,19450915,99999999,337.3,,,,,
337.4,PC,OBT OVER SPEC AMOUNT:TOUT,F,19830927,20201101,337.4,,,,,
337.4,PC,OBTAIN OVER $950 TOUTING,F,20201102,99999999,337.4,,,,,
337.5,PC,TOUT REFUSE TO LV TRACK,M,19450915,99999999,337.5,,,,,
337.7,PC,USE RACE LIC FRAUDULENTLY,F,19450915,99999999,337.7,,,,,
337.8,PC,USE CREDENTIAL TO TOUT,F,19450915,99999999,337.8,,,,,
337A(A)(1),PC,POOL SELLING/BOOKMAKING,M,19110101,99999999,337A,(A)(1),(A),(1),,
337A(A)(1),PC,POOL SELLING/BOOKMAKING,F,19110101,99999999,337A,(A)(1),(A),(1),,
337A(A)(2),PC,KEEP/ETC BOOKMAKING PLACE,M,19110101,99999999,337A,(A)(2),(A),(2),,
337A(A)(2),PC,KEEP/ETC BOOKMAKING PLACE,F,19110101,99999999,337A,(A)(2),(A),(2),,
337A(A)(3),PC,RCV/HOLD GAMBLING STAKES,M,19110101,99999999,337A,(A)(3),(A),(3),,
337A(A)(3),PC,RCV/HOLD GAMBLING STAKES,F,19110101,99999999,337A,(A)(3),(A),(3),,
337A(A)(4),PC,RECORD/REGISTER BET/WAGER,M,19110101,99999999,337A,(A)(4),(A),(4),,
337A(A)(4),PC,RECORD/REGISTER BET/WAGER,F,19110101,99999999,337A,(A)(4),(A),(4),,
337A(A)(5),PC,PERMIT GAMBLING PREMISES,M,19110101,99999999,337A,(A)(5),(A),(5),,
337A(A)(5),PC,PERMIT GAMBLING PREMISES,F,19110101,99999999,337A,(A)(5),(A),(5),,
337A(A)(6),PC,LAY/MAKE/ACCEPT WAGERS,M,19110101,99999999,337A,(A)(6),(A),(6),,
337A(A)(6),PC,LAY/MAKE/ACCEPT WAGERS,F,19110101,99999999,337A,(A)(6),(A),(6),,
337A.1,PC,POOL SELLING/BOOKMAKING,F,19101231,19101231,337A.1,,,,,
337A.2,PC,KEEP BOOKMAKING PREMISES,F,19101231,19101231,337A.2,,,,,
337A.3,PC,HOLD GAMBLING STAKES,F,19101231,19101231,337A.3,,,,,
337A.4,PC,RECORD BETS OR WAGERS,F,19101231,19101231,337A.4,,,,,
337A.5,PC,KEEP GAMBLING PREMISES,F,19101231,19101231,337A.5,,,,,
337A.6,PC,ACCEPT WAGERS,F,19101231,19101231,337A.6,,,,,
337A.6(A),PC,BOOKMAKING W/PRIOR CONV,M,19110101,20091231,337A.6,(A),(A),,,
337A.6(B),PC,BOOKMAKING W/PRIOR CONVIC,M,20100101,99999999,337A.6,(B),(B),,,
337B,PC,BRIBE SPORT CONTESTANT,F,19410404,99999999,337B,,,,,
337C,PC,CONTESTANT ACCEPT BRIBE,F,19410404,99999999,337C,,,,,
337D,PC,OFFER BRIBE TO UMPIRE/ETC,F,19410404,99999999,337D,,,,,
337E,PC,UMPIRE/ETC ACCEPT BRIBE,F,19410404,99999999,337E,,,,,
337F(A),PC,CONSP STIMULATE RACEHORSE,F,19410404,20081231,337F,(A),(A),,,
337F(A)(1),PC,CONSP STIMULATE RACEHORSE,F,20090101,99999999,337F,(A)(1),(A),(1),,
337F(A)(1),PC,CONSP STIMULATE RACEHORSE,M,20090101,99999999,337F,(A)(1),(A),(1),,
337F(A)(2),PC,KNLY ENTER DRUG RACEHORSE,F,20090101,20201124,337F,(A)(2),(A),(2),,
337F(A)(2),PC,KNLY ENTER DRUG RACEHORSE,M,20090101,20201124,337F,(A)(2),(A),(2),,
337F(A)(2),PC,KNWNLY ENTER DRGD RACEHRS,F,20201125,99999999,337F,(A)(2),(A),(2),,
337F(A)(2),PC,KNWNLY ENTER DRGD RACEHRS,M,20201125,99999999,337F,(A)(2),(A),(2),,
337F(A)(3),PC,ENTER RACEHORSE FICT NAME,F,20090101,99999999,337F,(A)(3),(A),(3),,
337F(A)(3),PC,ENTER RACEHORSE FICT NAME,M,20090101,99999999,337F,(A)(3),(A),(3),,
337F(B),PC,STIMULATE/DEPRESS HORSE,F,19410404,20081231,337F,(B),(B),,,
337F(C),PC,ENTER DRUGGED RACEHORSE,F,19470919,20081231,337F,(C),(C),,,
337F(D),PC,ENTER RACEHORSE FICT NAME,F,19410404,20081231,337F,(D),(D),,,
337G,PC,DRUG IN RACE INCLOSURE,M,19430804,99999999,337G,,,,,
337H,PC,DRUG ANIMAL,M,19530909,20201104,337H,,,,,
337H,PC,DRUG/ETC RACE/EXHB ANIMAL,M,20201105,99999999,337H,,,,,
337I,PC,TRANSMIT RACE RESULTS,F,19671108,99999999,337I,,,,,
337I,PC,TRANSMIT HORSERACE RESLTS,M,19671108,99999999,337I,,,,,
337J(A)(1),PC,UNLAWFUL OPR CONTRLD GAME,M,19980101,99999999,337J,(A)(1),(A),(1),,
337J(A)(1),PC,OPR CONTROLLED GAME W/PR,F,19980101,99999999,337J,(A)(1),(A),(1),,
337J(A)(2),PC,RCV COMP/REV CNTL GAME,M,19980101,99999999,337J,(A)(2),(A),(2),,
337J(A)(2),PC,RCV COMP CNTL GAME W/PR,F,19980101,99999999,337J,(A)(2),(A),(2),,
337J(A)(3),PC,MFG/DIST/ETC GAMBL EQUIP,M,19980101,99999999,337J,(A)(3),(A),(3),,
337J(A)(3),PC,MFG/DIST/ETC GAMBL EQUIP,F,19980101,99999999,337J,(A)(3),(A),(3),,
337J(B),PC,PRMT CNTL GAME BLDG/ETC,M,19980101,99999999,337J,(B),(B),,,
337J(B),PC,PRMT CNTL GAME BLDG W/PR,F,19980101,99999999,337J,(B),(B),,,
337J(C),PC,PRMT MFG/ETC GAMBL EQUIP,M,19980101,99999999,337J,(C),(C),,,
337J(C),PC,PRMT MFG GAMBL EQUIP W/PR,F,19980101,99999999,337J,(C),(C),,,
337K(A),PC,ADVERT NONPARIMUTUEL WAGR,I,19980101,99999999,337K,(A),(A),,,
337K(A),PC,ADV NONPARIMUT WAGR W/PR,M,19980101,99999999,337K,(A),(A),,,
337S(B),PC,PLAY/ETC DRAW POKER,M,19620713,99999999,337S,(B),(B),,,
337U(A),PC,ALTR OUTCOME GAMBLNG GAME,M,20030101,99999999,337U,(A),(A),,,
337U(B),PC,ALTER WAGER:OUTCOME KNOWN,M,20030101,99999999,337U,(B),(B),,,
337U(C),PC,CLAIM MONEY W/INT DEFRAUD,M,20030101,99999999,337U,(C),(C),,,
337U(D),PC,ENTICE OTHER TO GAMBLE,M,20030101,99999999,337U,(D),(D),,,
337U(E),PC,PLCE BET AFTER KNOW OUTCM,M,20030101,99999999,337U,(E),(E),,,
337U(F),PC,CANCL BET AFTR KNOW OUTCM,M,20030101,99999999,337U,(F),(F),,,
337U(G),PC,MANIPULATE WIT CHEAT GAME,M,20030101,99999999,337U,(G),(G),,,
337V,PC,POSS DVC TO DTRMN OUTCOM,M,20201113,99999999,337V,,,,,
337V(A),PC,POS DEVICE:DET OUTCM GAME,M,20030101,20201112,337V,(A),(A),,,
337W(A),PC,UNLWFL USE COUNTRFT CHIPS,M,20030101,99999999,337W,(A),(A),,,
337W(B),PC,KNWNGLY USE UNAPPRVD CHIP,M,20030101,99999999,337W,(B),(B),,,
337W(C),PC,"POSS DVC VIOL 337U,V,X,Y",M,20030101,99999999,337W,(C),(C),,,
337W(D),PC,POSS DVC OPEN/ETC GAME,M,20030101,99999999,337W,(D),(D),,,
337W(E),PC,POSS PARAPH FOR MFG SLUGS,M,20030101,99999999,337W,(E),(E),,,
337X,PC,UNLWFL:CHEAT GAMBNG ESTAB,M,20030101,99999999,337X,,,,,
337Y(A),PC,UNLWFL MFG PROHIB DEVICE,M,20030101,99999999,337Y,(A),(A),,,
337Y(B),PC,UNLWFL MARK GAME DEVICE,M,20030101,99999999,337Y,(B),(B),,,
337Y(C),PC,INSTRCT OTHER IN CHEATING,M,20030101,99999999,337Y,(C),(C),,,
343,PC,FAIL SHOW GLD BULLION REC,M,18720101,99999999,343,,,,,
346,PC,TICKET SCALPING,M,19730307,99999999,346,,,,,
347(A),PC,WILFUL POISN/ETC FOOD/ETC,F,19830928,20070311,347,(A),(A),,,
347(A)(1),PC,WILFUL POISN/ETC FOOD/ETC,F,20070312,99999999,347,(A)(1),(A),(1),,
347(B),PC,FALSE REPORT OF POISON,F,19830928,20201108,347,(B),(B),,,
347(B),PC,FALSE RPRT POISON IN FOOD,M,19830928,99999999,347,(B),(B),,,
347(B),PC,FALSE RPRT POISON IN FOOD,F,20201109,99999999,347,(B),(B),,,
347B,PC,POISONOUS ALCOHOL,M,19310101,20201108,347B,,,,,
347B,PC,MFG/SELL POISONOUS ALCOHL,M,20201109,99999999,347B,,,,,
350(A),PC,MFG/SELL COUNTERFEIT MARK,M,19850101,99999999,350,(A),(A),,,
350(A),PC,MFG/SELL COUNTERFEIT MARK,F,19850101,99999999,350,(A),(A),,,
350(A)(1),PC,MFG/SEL -1000:COUNTRFT MK,M,19850101,99999999,350,(A)(1),(A),(1),,
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,M,19850101,99999999,350,(A)(2),(A),(2),,
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,F,19850101,99999999,350,(A)(2),(A),(2),,
350(B),PC,MFG/SELL COUNTRFT MK W/PR,F,19850101,99999999,350,(B),(B),,,
350(B),PC,MFG/SELL COUNTRFT MK W/PR,M,19850101,99999999,350,(B),(B),,,
350(C),PC,MFG/SELL CNTRFEIT MK GBI,F,19850101,99999999,350,(C),(C),,,
351A,PC,SALE OF GOODS VIOLATION,M,19170101,99999999,351A,,,,,
355,PC,DEFACE MARKS,M,18720101,20201028,355,,,,,
355,PC,DEFACE MARKS INT/PRVNT ID,M,20201029,99999999,355,,,,,
356,PC,DEFACE MARK ON LUMBER,M,18720101,99999999,356,,,,,
359,PC,SOLEMNIZE INCEST MARRIAGE,M,18720101,99999999,359,,,,,
360,PC,PERFORM ILLEGAL MARRIAGE,M,19050101,99999999,360,,,,,
362,PC,HABEAS CORPUS VIOLATION,M,18720101,99999999,362,,,,,
363,PC,HABEAS CORPUS VIOLATION,M,18720101,99999999,363,,,,,
364,PC,HIDE PERSON:HABEAS CORPUS,M,18720101,99999999,364,,,,,
365,PC,INNKEEPER REFUSE GUEST,M,18720101,99999999,365,,,,,
365.5(B),PC,VIOL PUB CONVEY:DISAB/DOG,M,19870101,20201113,365.5,(B),(B),,,
365.5(C),PC,VIOL PUB CONVEY DISAB/DOG,M,20201116,99999999,365.5,(C),(C),,,
365.6(A),PC,OBSTRUCT SERVICE DOG/USER,M,19940101,99999999,365.6,(A),(A),,,
365.7(A),PC,FLS REP OWN GUIDE/ETC DOG,M,19950101,99999999,365.7,(A),(A),,,
368(B)(1),PC,HARM/DEATH:ELDER/DEP ADLT,F,19980928,20201108,368,(B)(1),(B),(1),,
368(B)(1),PC,ELDER/DEP ADLT:HARM/DEATH,M,19980929,20201108,368,(B)(1),(B),(1),,
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,F,20201109,99999999,368,(B)(1),(B),(1),,
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,M,20201109,99999999,368,(B)(1),(B),(1),,
368(C),PC,ELDER/DEP ADULT CRUELTY,M,19980928,99999999,368,(C),(C),,,
368(D),PC,THEFT:ELD/DEP ADULT $400+,F,19980928,20100124,368,(D),(D),,,
368(D),PC,THFT ELDER/DEP ADLT -$400,M,19980928,20100124,368,(D),(D),,,
368(D),PC,THFT ELDER/DEP ADLT -$950,M,20100125,20201111,368,(D),(D),,,
368(D),PC,THFT ELDER/DEP ADLT $950+,F,20100125,20201111,368,(D),(D),,,
368(D)(1),PC,THFT ELDR/DEPN ADLT $950+,F,20201112,99999999,368,(D)(1),(D),(1),,
368(D)(1),PC,THFT ELDR/DEPN ADLT -$950,M,20201112,99999999,368,(D)(1),(D),(1),,
368(E),PC,ELD/ETC THEFT BY CARETAKR,F,19980928,20201111,368,(E),(E),,,
368(E),PC,THEFT:ELD/ETC BY CARETAKR,M,19980928,20201111,368,(E),(E),,,
368(E)(1),PC,THFT ELDER BY CRTKR $950+,F,20201112,99999999,368,(E)(1),(E),(1),,
368(E)(2),PC,THFT ELDER BY CRTKR -$950,M,20201112,99999999,368,(E)(2),(E),(2),,
368(F),PC,FLSE IMPRISON:ELD/ETC:VIO,F,19840101,99999999,368,(F),(F),,,
369D,PC,LEAVE RAILROAD GATE OPEN,M,19060101,99999999,369D,,,,,
369G(A),PC,DRIVE/RIDE/ETC RR TRACK,M,19940101,99999999,369G,(A),(A),,,
369G(B),PC,DRV VEH ON RLRD W/O AUTH,M,19940101,99999999,369G,(B),(B),,,
369H,PC,ERECT SIGN:MISLEAD RR EMP,M,19410913,99999999,369H,,,,,
369I(A),PC,TRESPASS:RAILROAD PROPRTY,M,19940101,20211231,369I,(A),(A),,,
369I(A)(1),PC,TRESPASS RAILROAD PROPTY,M,20220101,99999999,369I,(A)(1),(A),(1),,
369I(B),PC,TRESPAS:RAIL TRANSIT PROP,M,19940101,20211231,369I,(B),(B),,,
369I(B)(1),PC,TRESPAS RAIL TRANSIT PROP,M,20220101,99999999,369I,(B)(1),(B),(1),,
370,PC,PUBLIC NUISANCE,M,18720101,99999999,370,,,,,
372,PC,MAINTAIN PUBLIC NUISANCE,M,18720101,20201108,372,,,,,
372,PC,PUBLIC NUISANCE,M,20201109,99999999,372,,,,,
373A,PC,MAINTAIN NUISANCE AFT NOT,M,19030101,99999999,373A,,,,,
374.2(A),PC,DUMP/ETC SUB IN SEWER,M,19890101,20201108,374.2,(A),(A),,,
374.2(A),PC,DUMP HARMF SUBST SEWER PR,F,19890101,99999999,374.2,(A),(A),,,
374.2(A),PC,DUMP HARMF SUBST IN SEWER,M,20201109,99999999,374.2,(A),(A),,,
374.3,PC,DUMP WASTE/ROCKS/ETC,I,19880101,99999999,374.3,,,,,
374.3(A),PC,DUMP WASTE:OFFENSE MATTER,I,19950101,20201108,374.3,(A),(A),,,
374.3(A),PC,DUMP WASTE ON PUB/PRIV RD,I,20201109,99999999,374.3,(A),(A),,,
374.3(B),PC,DUMPING:PUB/PRIV:NO CNST,I,19950101,99999999,374.3,(B),(B),,,
374.3(H)(1),PC,DUMP/ETC WASTE:COMRCL AMT,M,19950101,99999999,374.3,(H)(1),(H),(1),,
374.4,PC,LITTER PUB/PRIVATE PROP,I,19880101,99999999,374.4,,,,,
374.4(A),PC,LITER PUBLIC/PRIVATE PROP,I,19880101,99999999,374.4,(A),(A),,,
374.4(B),PC,LIT:HEALTH/SAFETY/ETC HAZ,I,19880101,99999999,374.4,(B),(B),,,
374.5(A)(1),PC,DUMP GREASE WASTE IN TRAP,M,20060101,99999999,374.5,(A)(1),(A),(1),,
374.5(A)(2),PC,DUMP GREASE WASTE:WATER,M,20080101,99999999,374.5,(A)(2),(A),(2),,
374.7(A),PC,LITTER WATERS OR SHORE,M,19880101,99999999,374.7,(A),(A),,,
374.8(B),PC,DUMP HAZRD:ROAD/WATER/ETC,M,19920101,99999999,374.8,(B),(B),,,
374.8(B),PC,DUMP HAZARD SUB:ROAD/WATR,F,19920101,99999999,374.8,(B),(B),,,
374C,PC,SHOOT ON PUBLIC ROAD,M,19330101,20201108,374C,,,,,
374C,PC,SHOOT F/ARM ON PUBLIC HWY,M,20201109,99999999,374C,,,,,
374D,PC,LEAVE DEAD ANIMAL,M,19510922,20201108,374D,,,,,
374D,PC,LEAVE DEAD ANIMAL NEAR ST,M,20201109,99999999,374D,,,,,
375(A),PC,OFFENSIVE SUB:PUB PLACE,M,19820101,99999999,375,(A),(A),,,
375(A),PC,OFFENSIVE SUB:PUB PLACE,F,19820101,99999999,375,(A),(A),,,
375(B),PC,POSS OFFENSIVE MTR TO USE,M,19820101,20201108,375,(B),(B),,,
375(B),PC,MFG/POSS OFFENSIVE MTR,M,20201109,99999999,375,(B),(B),,,
375(D),PC,USE OF TEAR/MUSTARD GAS,F,19820101,99999999,375,(D),(D),,,
377,PC,IMPERSONATE TO GET DRUGS,M,19630920,99999999,377,,,,,
379,PC,SELL/ETC SALVINORIN TO-18,M,20090101,99999999,379,,,,,
380(A),PC,SELL TOLUENE PRSN UND 18,M,19800101,99999999,380,(A),(A),,,
381(A),PC,POSSESS/ETC TOLUENE/ETC,M,19800921,99999999,381,(A),(A),,,
381(B),PC,POSS SIMILAR TOLUENE SUB,M,19800921,99999999,381,(B),(B),,,
381A,PC,FALSE DAIRY PRODUCT TEST,M,19010101,99999999,381A,,,,,
381B,PC,POSSESS NITROUS OXIDE,M,19840101,99999999,381B,,,,,
381C(B),PC,SELL NITROUS OXIDE TO MNR,M,20100101,99999999,381C,(B),(B),,,
381D(A),PC,DISP/DIST NITROUS GBI/DTH,M,20140101,99999999,381D,(A),(A),,,
381E(A),PC,FLR TO KEEP NITROUS RCRDS,M,20150101,99999999,381E,(A),(A),,,
382,PC,ADULTERATE FOOD/DRUGS/ETC,M,18720101,99999999,382,,,,,
382.4,PC,UNLIC ADM SUCSTRN:DOG/CAT,M,19770101,99999999,382.4,,,,,
382.5,PC,DINITROPHENOL VIOLATION,F,19390919,20201108,382.5,,,,,
382.5,PC,SELL/ETC DINITROPHENOL,F,20201109,99999999,382.5,,,,,
382.6,PC,SELL EYEBROW DYE CHEMICAL,F,19390919,99999999,382.6,,,,,
382.7,PC,PRESC/ETC SILCONE:INJECTN,M,19770101,99999999,382.7,,,,,
383,PC,SELL ADULTERATED FOOD/ETC,M,19050101,99999999,383,,,,,
383A,PC,PROCESS BUTTER W/O LABEL,M,19050101,99999999,383A,,,,,
383B,PC,FRAUD SALE OF KOSHER MEAT,M,19310101,99999999,383B,,,,,
383C,PC,FRDLNT SALE OF HALAL MEAT,M,20030101,99999999,383C,,,,,
384(A),PC,TELEPHONE VIOLATION,M,19570911,20201108,384,(A),(A),,,
384(A),PC,RFS RLNQUSH LINE IN EMERG,M,20201109,99999999,384,(A),(A),,,
384(C),PC,PUB/ETC PHON DIR W/O WARN,M,19570911,99999999,384,(C),(C),,,
384.5(A)(1),PC,REM FOREST PROD W/O PERMT,M,19890101,99999999,384.5,(A)(1),(A),(1),,
384A,PC,CUT SHRUBS W/O PERMIT,M,19290101,20201111,384A,,,,,
384A(A)(1),PC,CUT/DEST/RMV PLANT ON HWY,M,20201112,99999999,384A,(A)(1),(A),(1),,
384A(A)(3),PC,SELL/TRANSPORT CUT PLANT,M,19290101,99999999,384A,(A)(3),(A),(3),,
384C,PC,FALSE TRANSPORT STATEMENT,M,19630920,99999999,384C,,,,,
384D,PC,MOVE SHRUB W/O PERMIT,M,19630920,99999999,384D,,,,,
384E,PC,FAIL TO SHOW SHRUB TAG,M,19630920,20201111,384E,,,,,
384E(A),PC,FAIL TO SHOW SHRUB TAG,M,20201112,99999999,384E,(A),(A),,,
384H,PC,KILL/HURT ANTHR ANML:HUNT,M,19630920,99999999,384H,,,,,
385(B),PC,TOOLS NEAR HIGH VOLT LINE,M,19470919,99999999,385,(B),(B),,,
385(C),PC,USE/ETC EQUP:NO SIGN:VOLT,M,19470919,99999999,385,(C),(C),,,
386(A),PC,INOP/ETC FIRE PROTECT SYS,F,19880101,99999999,386,(A),(A),,,
386(B),PC,INOP FIRE PROTECT SYS GBI,F,19880101,99999999,386,(B),(B),,,
387(A),PC,UNSAFE BUS PRAC:GBH/DEATH,F,19910101,99999999,387,(A),(A),,,
387(A),PC,UNSAFE BUS PRAC GBH/DTH,M,19910101,99999999,387,(A),(A),,,
395,PC,MARKET PRICE FRAUD,M,18720101,99999999,395,,,,,
396(B),PC,PRICE GOUG:GOODS/ETC:EMER,M,19950101,99999999,396,(B),(B),,,
396(C),PC,PRICE GOUG:RPAIR/ETC:EMER,M,19950101,99999999,396,(C),(C),,,
396(D),PC,PRICE GOUGE MTL RNT EMERG,M,19950101,99999999,396,(D),(D),,,
396(E),PC,INCRS RENT 10+PERC EMRGNC,M,20190101,99999999,396,(E),(E),,,
396(F),PC,EVICT TENANT DUR EMERGNCY,M,20190101,99999999,396,(F),(F),,,
396.5,PC,UNLAWFUL USE FOOD STAMPS,M,19800101,99999999,396.5,,,,,
397,PC,LIQUOR TO DRUNKARD,M,19530909,20201124,397,,,,,
397,PC,FURN LIQUOR DRUNKARD/ETC,M,20201125,99999999,397,,,,,
398,MV,TRESPASS: OFF LIMIT AREA,M,19470919,99999999,398,,,,,
399,PC,OWNERS ANIMAL CAUSE DEATH,F,18720101,20201111,399,,,,,
399(A),PC,OWNER NEG: ANML CAUS DTH,F,20201112,99999999,399,(A),(A),,,
399(B),PC,OWNER/ETC:ANML CAUSE DTH,F,18720101,20201027,399,(B),(B),,,
399(B),PC,OWNER/ETC:ANML CAUSE DTH,M,18720101,20201027,399,(B),(B),,,
399(B),PC,OWNER/ETC: ANIMAL SBI/DTH,F,20201028,99999999,399,(B),(B),,,
399(B),PC,OWNER/ETC: ANML CAUSE SBI,M,20201028,99999999,399,(B),(B),,,
399.5(A),PC,DOG FIGHT-TRAIND CAUS INJ,M,19850101,99999999,399.5,(A),(A),,,
399.5(A),PC,DOG TRAINED:FIGHT/ETC:INJ,F,20000101,99999999,399.5,(A),(A),,,
401,PC,AIDING SUICIDE,F,19050101,20201113,401,,,,,
401(A),PC,AID/ADVISE/ETC SUICIDE,F,20201116,99999999,401,(A),(A),,,
402(A),PC,STOP/ETC:EMERGENCY SCENE,M,19900101,20161231,402,(A),(A),,,
402(A)(1),PC,STOP/ETC:EMERGENCY SCENE,M,20170101,99999999,402,(A)(1),(A),(1),,
402(A)(2),PC,INTRF EMERG W/DRONE/ETC,M,20170101,99999999,402,(A)(2),(A),(2),,
402(B),PC,INTRF/ETC W/LIFGARD:EMERG,M,19900101,99999999,402,(B),(B),,,
402A,PC,ADULTERATION OF CANDY,M,19050101,99999999,402A,,,,,
402B,PC,DISCARD APPLIANCE W/LOCK,M,19510922,99999999,402B,,,,,
402C,PC,SELL NEW REFRIG W/O LOCK,M,19681113,99999999,402C,,,,,
403,PC,DISTURB/ETC ASSEMBLY/ETC,M,18720101,99999999,403,,,,,
404(A),PC,RIOTING,M,19790101,99999999,404,(A),(A),,,
404.6(A),PC,CAUSE RIOT:DESTROY PROP,M,19930101,20201108,404.6,(A),(A),,,
404.6(A),PC,INCITEMENT TO RIOT/ETC,M,20201109,99999999,404.6,(A),(A),,,
404.6(C),PC,RIOT IN JAIL/PRISON/ETC,M,19990101,99999999,404.6,(C),(C),,,
404.6(C),PC,RIOT IN PRISON/JAIL/ETC,F,19990101,99999999,404.6,(C),(C),,,
405,PC,RIOTS,M,18720101,99999999,405,,,,,
405A,PC,LYNCHING,F,19330821,20151231,405A,,,,,
405A,PC,RIOT TAKE FROM PEACE OFF,F,20160101,99999999,405A,,,,,
405B,PC,LYNCHING,F,19330821,20151231,405B,,,,,
406,PC,ROUTING,M,18720101,99999999,406,,,,,
407,PC,UNLAWFUL ASSEMBLY,M,18720101,99999999,407,,,,,
408,PC,ROUT/UNLAWFUL ASSEMBLY,M,18720101,99999999,408,,,,,
409,PC,REMAIN AT SCENE:RIOT/ETC,M,18720101,99999999,409,,,,,
409(H),MV,SEIZE PER PROP TERM LEASE,M,20190101,99999999,409,(H),(H),,,
409.5(C),PC,ENTER DISASTER AREA,M,19691110,99999999,409.5,(C),(C),,,
409.6(C),PC,UNAUTH ENTRY EVAC AVALNCH,M,19840101,99999999,409.6,(C),(C),,,
410,PC,NEGLECT/REFUSE TO DISPERS,M,18720101,99999999,410,,,,,
412,PC,ILLEGAL PRIZE FIGHTING,M,19140101,99999999,412,,,,,
413,PC,PRESENT AT ILLEGAL FIGHT,M,19140101,99999999,413,,,,,
414,PC,LEAVE STATE TO PRIZEFIGHT,M,18720101,99999999,414,,,,,
415(1),PC,FIGHT IN PUBLIC PLACE,M,19770101,99999999,415,(1),(1),,,
415(1),PC,FIGHT/ETC IN PUBLIC PLACE,I,19770101,99999999,415,(1),(1),,,
415(2),PC,UNREASONABLE NOISE,M,19770101,99999999,415,(2),(2),,,
415(2),PC,LOUD/UNREASONABLE NOISE,I,19770101,99999999,415,(2),(2),,,
415(3),PC,OFFENSIVE WORDS:PUBLIC PL,M,19770101,99999999,415,(3),(3),,,
415(3),PC,OFFENSIVE WORDS IN PUB PL,I,19770101,99999999,415,(3),(3),,,
415.5(A)(1),PC,FIGHT/ETC AT SCH/UNIV/ETC,M,19890101,99999999,415.5,(A)(1),(A),(1),,
415.5(A)(2),PC,LOUD/UNREAS NOISE UNV/ETC,M,19890101,99999999,415.5,(A)(2),(A),(2),,
415.5(A)(3),PC,OFFENSIVE WORDS UNIV/ETC,M,19890101,99999999,415.5,(A)(3),(A),(3),,
416(A),PC,REFUSE TO DISPERSE,M,19900101,99999999,416,(A),(A),,,
417(A)(1),PC,EXHIBIT DEADWPN:NOT F/ARM,M,19820425,99999999,417,(A)(1),(A),(1),,
