_original_section,_code_type,StatuteLiteral,_level,EnactDate,RepealAmendDate,_section_only,_subparts,_subdivision,_paragraph,_subparagraph,_clause,_charge_reconstructed
337A(A)(1),PC,POOL SELLING/BOOKMAKING,F,1911-01-01,,337A,(A)(1),(A),(1),,,337A(A)(1)
337A(A)(2),PC,KEEP/ETC BOOKMAKING PLACE,M,1911-01-01,,337A,(A)(2),(A),(2),,,337A(A)(2)
337A(A)(2),PC,KEEP/ETC BOOKMAKING PLACE,F,1911-01-01,,337A,(A)(2),(A),(2),,,337A(A)(2)
337A(A)(3),PC,RCV/HOLD GAMBLING STAKES,M,1911-01-01,,337A,(A)(3),(A),(3),,,337A(A)(3)
337A(A)(3),PC,RCV/HOLD GAMBLING STAKES,F,1911-01-01,,337A,(A)(3),(A),(3),,,337A(A)(3)
337A(A)(4),PC,RECORD/REGISTER BET/WAGER,M,1911-01-01,,337A,(A)(4),(A),(4),,,337A(A)(4)
337A(A)(4),PC,RECORD/REGISTER BET/WAGER,F,1911-01-01,,337A,(A)(4),(A),(4),,,337A(A)(4)
337A(A)(5),PC,PERMIT GAMBLING PREMISES,M,1911-01-01,,337A,(A)(5),(A),(5),,,337A(A)(5)
337A(A)(5),PC,PERMIT GAMBLING PREMISES,F,1911-01-01,,337A,(A)(5),(A),(5),,,337A(A)(5)
337A(A)(6),PC,LAY/MAKE/ACCEPT WAGERS,M,1911-01-01,,337A,(A)(6),(A),(6),,,337A(A)(6)
337A(A)(6),PC,LAY/MAKE/ACCEPT WAGERS,F,1911-01-01,,337A,(A)(6),(A),(6),,,337A(A)(6)
337A.1,PC,POOL SELLING/BOOKMAKING,F,1910-12-31,1910-12-31,337A.1,,,,,,337A.1
337A.2,PC,KEEP BOOKMAKING PREMISES,F,1910-12-31,1910-12-31,337A.2,,,,,,337A.2
337A.3,PC,HOLD GAMBLING STAKES,F,1910-12-31,1910-12-31,337A.3,,,,,,337A.3
337A.4,PC,RECORD BETS OR WAGERS,F,1910-12-31,1910-12-31,337A.4,,,,,,337A.4
337A.5,PC,KEEP GAMBLING PREMISES,F,1910-12-31,1910-12-31,337A.5,,,,,,337A.5
337A.6,PC,ACCEPT WAGERS,F,1910-12-31,1910-12-31,337A.6,,,,,,337A.6
337A.6(A),PC,BOOKMAKING W/PRIOR CONV,M,1911-01-01,2009-12-31,337A.6,(A),(A),,,,337A.6(A)
337A.6(B),PC,BOOKMAKING W/PRIOR CONVIC,M,2010-01-01,,337A.6,(B),(B),,,,337A.6(B)
337B,PC,BRIBE SPORT CONTESTANT,F,1941-04-04,,337B,,,,,,337B
337C,PC,CONTESTANT ACCEPT BRIBE,F,1941-04-04,,337C,,,,,,337C
337D,PC,OFFER BRIBE TO UMPIRE/ETC,F,1941-04-04,,337D,,,,,,337D
337E,PC,UMPIRE/ETC ACCEPT BRIBE,F,1941-04-04,,337E,,,,,,337E
337F(A),PC,CONSP STIMULATE RACEHORSE,F,1941-04-04,2008-12-31,337F,(A),(A),,,,337F(A)
337F(A)(1),PC,CONSP STIMULATE RACEHORSE,F,2009-01-01,,337F,(A)(1),(A),(1),,,337F(A)(1)
337F(A)(1),PC,CONSP STIMULATE RACEHORSE,M,2009-01-01,,337F,(A)(1),(A),(1),,,337F(A)(1)
337F(A)(2),PC,KNLY ENTER DRUG RACEHORSE,F,2009-01-01,2020-11-24,337F,(A)(2),(A),(2),,,337F(A)(2)
337F(A)(2),PC,KNLY ENTER DRUG RACEHORSE,M,2009-01-01,2020-11-24,337F,(A)(2),(A),(2),,,337F(A)(2)
337F(A)(2),PC,KNWNLY ENTER DRGD RACEHRS,F,2020-11-25,,337F,(A)(2),(A),(2),,,337F(A)(2)
337F(A)(2),PC,KNWNLY ENTER DRGD RACEHRS,M,2020-11-25,,337F,(A)(2),(A),(2),,,337F(A)(2)
337F(A)(3),PC,ENTER RACEHORSE FICT NAME,F,2009-01-01,,337F,(A)(3),(A),(3),,,337F(A)(3)
337F(A)(3),PC,ENTER RACEHORSE FICT NAME,M,2009-01-01,,337F,(A)(3),(A),(3),,,337F(A)(3)
337F(B),PC,STIMULATE/DEPRESS HORSE,F,1941-04-04,2008-12-31,337F,(B),(B),,,,337F(B)
337F(C),PC,ENTER DRUGGED RACEHORSE,F,1947-09-19,2008-12-31,337F,(C),(C),,,,337F(C)
337F(D),PC,ENTER RACEHORSE FICT NAME,F,1941-04-04,2008-12-31,337F,(D),(D),,,,337F(D)
337G,PC,DRUG IN RACE INCLOSURE,M,1943-08-04,,337G,,,,,,337G
337H,PC,DRUG ANIMAL,M,1953-09-09,2020-11-04,337H,,,,,,337H
337H,PC,DRUG/ETC RACE/EXHB ANIMAL,M,2020-11-05,,337H,,,,,,337H
337I,PC,TRANSMIT RACE RESULTS,F,1967-11-08,,337I,,,,,,337I
337I,PC,TRANSMIT HORSERACE RESLTS,M,1967-11-08,,337I,,,,,,337I
337J(A)(1),PC,UNLAWFUL OPR CONTRLD GAME,M,1998-01-01,,337J,(A)(1),(A),(1),,,337J(A)(1)
337J(A)(1),PC,OPR CONTROLLED GAME W/PR,F,1998-01-01,,337J,(A)(1),(A),(1),,,337J(A)(1)
337J(A)(2),PC,RCV COMP/REV CNTL GAME,M,1998-01-01,,337J,(A)(2),(A),(2),,,337J(A)(2)
337J(A)(2),PC,RCV COMP CNTL GAME W/PR,F,1998-01-01,,337J,(A)(2),(A),(2),,,337J(A)(2)
337J(A)(3),PC,MFG/DIST/ETC GAMBL EQUIP,M,1998-01-01,,337J,(A)(3),(A),(3),,,337J(A)(3)
337J(A)(3),PC,MFG/DIST/ETC GAMBL EQUIP,F,1998-01-01,,337J,(A)(3),(A),(3),,,337J(A)(3)
337J(B),PC,PRMT CNTL GAME BLDG/ETC,M,1998-01-01,,337J,(B),(B),,,,337J(B)
337J(B),PC,PRMT CNTL GAME BLDG W/PR,F,1998-01-01,,337J,(B),(B),,,,337J(B)
337J(C),PC,PRMT MFG/ETC GAMBL EQUIP,M,1998-01-01,,337J,(C),(C),,,,337J(C)
337J(C),PC,PRMT MFG GAMBL EQUIP W/PR,F,1998-01-01,,337J,(C),(C),,,,337J(C)
337K(A),PC,ADVERT NONPARIMUTUEL WAGR,I,1998-01-01,,337K,(A),(A),,,,337K(A)
337K(A),PC,ADV NONPARIMUT WAGR W/PR,M,1998-01-01,,337K,(A),(A),,,,337K(A)
337S(B),PC,PLAY/ETC DRAW POKER,M,1962-07-13,,337S,(B),(B),,,,337S(B)
337U(A),PC,ALTR OUTCOME GAMBLNG GAME,M,2003-01-01,,337U,(A),(A),,,,337U(A)
337U(B),PC,ALTER WAGER:OUTCOME KNOWN,M,2003-01-01,,337U,(B),(B),,,,337U(B)
337U(C),PC,CLAIM MONEY W/INT DEFRAUD,M,2003-01-01,,337U,(C),(C),,,,337U(C)
337U(D),PC,ENTICE OTHER TO GAMBLE,M,2003-01-01,,337U,(D),(D),,,,337U(D)
337U(E),PC,PLCE BET AFTER KNOW OUTCM,M,2003-01-01,,337U,(E),(E),,,,337U(E)
337U(F),PC,CANCL BET AFTR KNOW OUTCM,M,2003-01-01,,337U,(F),(F),,,,337U(F)
337U(G),PC,MANIPULATE WIT CHEAT GAME,M,2003-01-01,,337U,(G),(G),,,,337U(G)
337V,PC,POSS DVC TO DTRMN OUTCOM,M,2020-11-13,,337V,,,,,,337V
337V(A),PC,POS DEVICE:DET OUTCM GAME,M,2003-01-01,2020-11-12,337V,(A),(A),,,,337V(A)
337W(A),PC,UNLWFL USE COUNTRFT CHIPS,M,2003-01-01,,337W,(A),(A),,,,337W(A)
337W(B),PC,KNWNGLY USE UNAPPRVD CHIP,M,2003-01-01,,337W,(B),(B),,,,337W(B)
337W(C),PC,"POSS DVC VIOL 337U,V,X,Y",M,2003-01-01,,337W,(C),(C),,,,337W(C)
337W(D),PC,POSS DVC OPEN/ETC GAME,M,2003-01-01,,337W,(D),(D),,,,337W(D)
337W(E),PC,POSS PARAPH FOR MFG SLUGS,M,2003-01-01,,337W,(E),(E),,,,337W(E)
337X,PC,UNLWFL:CHEAT GAMBNG ESTAB,M,2003-01-01,,337X,,,,,,337X
337Y(A),PC,UNLWFL MFG PROHIB DEVICE,M,2003-01-01,,337Y,(A),(A),,,,337Y(A)
337Y(B),PC,UNLWFL MARK GAME DEVICE,M,2003-01-01,,337Y,(B),(B),,,,337Y(B)
337Y(C),PC,INSTRCT OTHER IN CHEATING,M,2003-01-01,,337Y,(C),(C),,,,337Y(C)
343,PC,FAIL SHOW GLD BULLION REC,M,1872-01-01,,343,,,,,,343
346,PC,TICKET SCALPING,M,1973-03-07,,346,,,,,,346
347(A),PC,WILFUL POISN/ETC FOOD/ETC,F,1983-09-28,2007-03-11,347,(A),(A),,,,347(A)
347(A)(1),PC,WILFUL POISN/ETC FOOD/ETC,F,2007-03-12,,347,(A)(1),(A),(1),,,347(A)(1)
347(B),PC,FALSE REPORT OF POISON,F,1983-09-28,2020-11-08,347,(B),(B),,,,347(B)
347(B),PC,FALSE RPRT POISON IN FOOD,M,1983-09-28,,347,(B),(B),,,,347(B)
347(B),PC,FALSE RPRT POISON IN FOOD,F,2020-11-09,,347,(B),(B),,,,347(B)
347B,PC,POISONOUS ALCOHOL,M,1931-01-01,2020-11-08,347B,,,,,,347B
347B,PC,MFG/SELL POISONOUS ALCOHL,M,2020-11-09,,347B,,,,,,347B
350(A),PC,MFG/SELL COUNTERFEIT MARK,M,1985-01-01,,350,(A),(A),,,,350(A)
350(A),PC,MFG/SELL COUNTERFEIT MARK,F,1985-01-01,,350,(A),(A),,,,350(A)
350(A)(1),PC,MFG/SEL -1000:COUNTRFT MK,M,1985-01-01,,350,(A)(1),(A),(1),,,350(A)(1)
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,M,1985-01-01,,350,(A)(2),(A),(2),,,350(A)(2)
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,F,1985-01-01,,350,(A)(2),(A),(2),,,350(A)(2)
350(B),PC,MFG/SELL COUNTRFT MK W/PR,F,1985-01-01,,350,(B),(B),,,,350(B)
350(B),PC,MFG/SELL COUNTRFT MK W/PR,M,1985-01-01,,350,(B),(B),,,,350(B)
350(C),PC,MFG/SELL CNTRFEIT MK GBI,F,1985-01-01,,350,(C),(C),,,,350(C)
351A,PC,SALE OF GOODS VIOLATION,M,1917-01-01,,351A,,,,,,351A
355,PC,DEFACE MARKS,M,1872-01-01,2020-10-28,355,,,,,,355
355,PC,DEFACE MARKS INT/PRVNT ID,M,2020-10-29,,355,,,,,,355
356,PC,DEFACE MARK ON LUMBER,M,1872-01-01,,356,,,,,,356
359,PC,SOLEMNIZE INCEST MARRIAGE,M,1872-01-01,,359,,,,,,359
360,PC,PERFORM ILLEGAL MARRIAGE,M,1905-01-01,,360,,,,,,360
362,PC,HABEAS CORPUS VIOLATION,M,1872-01-01,,362,,,,,,362
363,PC,HABEAS CORPUS VIOLATION,M,1872-01-01,,363,,,,,,363
364,PC,HIDE PERSON:HABEAS CORPUS,M,1872-01-01,,364,,,,,,364
365,PC,INNKEEPER REFUSE GUEST,M,1872-01-01,,365,,,,,,365
365.5(B),PC,VIOL PUB CONVEY:DISAB/DOG,M,1987-01-01,2020-11-13,365.5,(B),(B),,,,365.5(B)
365.5(C),PC,VIOL PUB CONVEY DISAB/DOG,M,2020-11-16,,365.5,(C),(C),,,,365.5(C)
365.6(A),PC,OBSTRUCT SERVICE DOG/USER,M,1994-01-01,,365.6,(A),(A),,,,365.6(A)
365.7(A),PC,FLS REP OWN GUIDE/ETC DOG,M,1995-01-01,,365.7,(A),(A),,,,365.7(A)
368(B)(1),PC,HARM/DEATH:ELDER/DEP ADLT,F,1998-09-28,2020-11-08,368,(B)(1),(B),(1),,,368(B)(1)
368(B)(1),PC,ELDER/DEP ADLT:HARM/DEATH,M,1998-09-29,2020-11-08,368,(B)(1),(B),(1),,,368(B)(1)
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,F,2020-11-09,,368,(B)(1),(B),(1),,,368(B)(1)
368(B)(1),PC,CAUSE INJ ELDER/DEP ADULT,M,2020-11-09,,368,(B)(1),(B),(1),,,368(B)(1)
368(C),PC,ELDER/DEP ADULT CRUELTY,M,1998-09-28,,368,(C),(C),,,,368(C)
368(D),PC,THEFT:ELD/DEP ADULT $400+,F,1998-09-28,2010-01-24,368,(D),(D),,,,368(D)
368(D),PC,THFT ELDER/DEP ADLT -$400,M,1998-09-28,2010-01-24,368,(D),(D),,,,368(D)
368(D),PC,THFT ELDER/DEP ADLT -$950,M,2010-01-25,2020-11-11,368,(D),(D),,,,368(D)
368(D),PC,THFT ELDER/DEP ADLT $950+,F,2010-01-25,2020-11-11,368,(D),(D),,,,368(D)
368(D)(1),PC,THFT ELDR/DEPN ADLT $950+,F,2020-11-12,,368,(D)(1),(D),(1),,,368(D)(1)
368(D)(1),PC,THFT ELDR/DEPN ADLT -$950,M,2020-11-12,,368,(D)(1),(D),(1),,,368(D)(1)
368(E),PC,ELD/ETC THEFT BY CARETAKR,F,1998-09-28,2020-11-11,368,(E),(E),,,,368(E)
368(E),PC,THEFT:ELD/ETC BY CARETAKR,M,1998-09-28,2020-11-11,368,(E),(E),,,,368(E)
368(E)(1),PC,THFT ELDER BY CRTKR $950+,F,2020-11-12,,368,(E)(1),(E),(1),,,368(E)(1)
368(E)(2),PC,THFT ELDER BY CRTKR -$950,M,2020-11-12,,368,(E)(2),(E),(2),,,368(E)(2)
368(F),PC,FLSE IMPRISON:ELD/ETC:VIO,F,1984-01-01,,368,(F),(F),,,,368(F)
369D,PC,LEAVE RAILROAD GATE OPEN,M,1906-01-01,,369D,,,,,,369D
369G(A),PC,DRIVE/RIDE/ETC RR TRACK,M,1994-01-01,,369G,(A),(A),,,,369G(A)
369G(B),PC,DRV VEH ON RLRD W/O AUTH,M,1994-01-01,,369G,(B),(B),,,,369G(B)
369H,PC,ERECT SIGN:MISLEAD RR EMP,M,1941-09-13,,369H,,,,,,369H
369I(A),PC,TRESPASS:RAILROAD PROPRTY,M,1994-01-01,2021-12-31,369I,(A),(A),,,,369I(A)
369I(B),PC,TRESPAS:RAIL TRANSIT PROP,M,1994-01-01,2021-12-31,369I,(B),(B),,,,369I(B)
370,PC,PUBLIC NUISANCE,M,1872-01-01,,370,,,,,,370
372,PC,MAINTAIN PUBLIC NUISANCE,M,1872-01-01,2020-11-08,372,,,,,,372
372,PC,PUBLIC NUISANCE,M,2020-11-09,,372,,,,,,372
373A,PC,MAINTAIN NUISANCE AFT NOT,M,1903-01-01,,373A,,,,,,373A
374.2(A),PC,DUMP/ETC SUB IN SEWER,M,1989-01-01,2020-11-08,374.2,(A),(A),,,,374.2(A)
374.2(A),PC,DUMP HARMF SUBST SEWER PR,F,1989-01-01,,374.2,(A),(A),,,,374.2(A)
374.2(A),PC,DUMP HARMF SUBST IN SEWER,M,2020-11-09,,374.2,(A),(A),,,,374.2(A)
374.3,PC,DUMP WASTE/ROCKS/ETC,I,1988-01-01,,374.3,,,,,,374.3
374.3(A),PC,DUMP WASTE:OFFENSE MATTER,I,1995-01-01,2020-11-08,374.3,(A),(A),,,,374.3(A)
374.3(A),PC,DUMP WASTE ON PUB/PRIV RD,I,2020-11-09,,374.3,(A),(A),,,,374.3(A)
374.3(B),PC,DUMPING:PUB/PRIV:NO CNST,I,1995-01-01,,374.3,(B),(B),,,,374.3(B)
374.3(H)(1),PC,DUMP/ETC WASTE:COMRCL AMT,M,1995-01-01,,374.3,(H)(1),(H),(1),,,374.3(H)(1)
374.4,PC,LITTER PUB/PRIVATE PROP,I,1988-01-01,,374.4,,,,,,374.4
374.4(A),PC,LITER PUBLIC/PRIVATE PROP,I,1988-01-01,,374.4,(A),(A),,,,374.4(A)
374.4(B),PC,LIT:HEALTH/SAFETY/ETC HAZ,I,1988-01-01,,374.4,(B),(B),,,,374.4(B)
374.5(A)(1),PC,DUMP GREASE WASTE IN TRAP,M,2006-01-01,,374.5,(A)(1),(A),(1),,,374.5(A)(1)
374.5(A)(2),PC,DUMP GREASE WASTE:WATER,M,2008-01-01,,374.5,(A)(2),(A),(2),,,374.5(A)(2)
374.7(A),PC,LITTER WATERS OR SHORE,M,1988-01-01,,374.7,(A),(A),,,,374.7(A)
374.8(B),PC,DUMP HAZRD:ROAD/WATER/ETC,M,1992-01-01,,374.8,(B),(B),,,,374.8(B)
374.8(B),PC,DUMP HAZARD SUB:ROAD/WATR,F,1992-01-01,,374.8,(B),(B),,,,374.8(B)
374C,PC,SHOOT ON PUBLIC ROAD,M,1933-01-01,2020-11-08,374C,,,,,,374C
374C,PC,SHOOT F/ARM ON PUBLIC HWY,M,2020-11-09,,374C,,,,,,374C
374D,PC,LEAVE DEAD ANIMAL,M,1951-09-22,2020-11-08,374D,,,,,,374D
374D,PC,LEAVE DEAD ANIMAL NEAR ST,M,2020-11-09,,374D,,,,,,374D
375(A),PC,OFFENSIVE SUB:PUB PLACE,M,1982-01-01,,375,(A),(A),,,,375(A)
375(A),PC,OFFENSIVE SUB:PUB PLACE,F,1982-01-01,,375,(A),(A),,,,375(A)
375(B),PC,POSS OFFENSIVE MTR TO USE,M,1982-01-01,2020-11-08,375,(B),(B),,,,375(B)
375(B),PC,MFG/POSS OFFENSIVE MTR,M,2020-11-09,,375,(B),(B),,,,375(B)
375(D),PC,USE OF TEAR/MUSTARD GAS,F,1982-01-01,,375,(D),(D),,,,375(D)
377,PC,IMPERSONATE TO GET DRUGS,M,1963-09-20,,377,,,,,,377
379,PC,SELL/ETC SALVINORIN TO-18,M,2009-01-01,,379,,,,,,379
380(A),PC,SELL TOLUENE PRSN UND 18,M,1980-01-01,,380,(A),(A),,,,380(A)
381(A),PC,POSSESS/ETC TOLUENE/ETC,M,1980-09-21,,381,(A),(A),,,,381(A)
381(B),PC,POSS SIMILAR TOLUENE SUB,M,1980-09-21,,381,(B),(B),,,,381(B)
381A,PC,FALSE DAIRY PRODUCT TEST,M,1901-01-01,,381A,,,,,,381A
381B,PC,POSSESS NITROUS OXIDE,M,1984-01-01,,381B,,,,,,381B
381C(B),PC,SELL NITROUS OXIDE TO MNR,M,2010-01-01,,381C,(B),(B),,,,381C(B)
381D(A),PC,DISP/DIST NITROUS GBI/DTH,M,2014-01-01,,381D,(A),(A),,,,381D(A)
381E(A),PC,FLR TO KEEP NITROUS RCRDS,M,2015-01-01,,381E,(A),(A),,,,381E(A)
382,PC,ADULTERATE FOOD/DRUGS/ETC,M,1872-01-01,,382,,,,,,382
382.4,PC,UNLIC ADM SUCSTRN:DOG/CAT,M,1977-01-01,,382.4,,,,,,382.4
382.5,PC,DINITROPHENOL VIOLATION,F,1939-09-19,2020-11-08,382.5,,,,,,382.5
382.5,PC,SELL/ETC DINITROPHENOL,F,2020-11-09,,382.5,,,,,,382.5
382.6,PC,SELL EYEBROW DYE CHEMICAL,F,1939-09-19,,382.6,,,,,,382.6
382.7,PC,PRESC/ETC SILCONE:INJECTN,M,1977-01-01,,382.7,,,,,,382.7
383,PC,SELL ADULTERATED FOOD/ETC,M,1905-01-01,,383,,,,,,383
383A,PC,PROCESS BUTTER W/O LABEL,M,1905-01-01,,383A,,,,,,383A
383B,PC,FRAUD SALE OF KOSHER MEAT,M,1931-01-01,,383B,,,,,,383B
383C,PC,FRDLNT SALE OF HALAL MEAT,M,2003-01-01,,383C,,,,,,383C
384(A),PC,TELEPHONE VIOLATION,M,1957-09-11,2020-11-08,384,(A),(A),,,,384(A)
384(A),PC,RFS RLNQUSH LINE IN EMERG,M,2020-11-09,,384,(A),(A),,,,384(A)
384(C),PC,PUB/ETC PHON DIR W/O WARN,M,1957-09-11,,384,(C),(C),,,,384(C)
384.5(A)(1),PC,REM FOREST PROD W/O PERMT,M,1989-01-01,,384.5,(A)(1),(A),(1),,,384.5(A)(1)
384A,PC,CUT SHRUBS W/O PERMIT,M,1929-01-01,2020-11-11,384A,,,,,,384A
384A(A)(1),PC,CUT/DEST/RMV PLANT ON HWY,M,2020-11-12,,384A,(A)(1),(A),(1),,,384A(A)(1)
384A(A)(3),PC,SELL/TRANSPORT CUT PLANT,M,1929-01-01,,384A,(A)(3),(A),(3),,,384A(A)(3)
384C,PC,FALSE TRANSPORT STATEMENT,M,1963-09-20,,384C,,,,,,384C
384D,PC,MOVE SHRUB W/O PERMIT,M,1963-09-20,,384D,,,,,,384D
384E,PC,FAIL TO SHOW SHRUB TAG,M,1963-09-20,2020-11-11,384E,,,,,,384E
384E(A),PC,FAIL TO SHOW SHRUB TAG,M,2020-11-12,,384E,(A),(A),,,,384E(A)
384H,PC,KILL/HURT ANTHR ANML:HUNT,M,1963-09-20,,384H,,,,,,384H
385(B),PC,TOOLS NEAR HIGH VOLT LINE,M,1947-09-19,,385,(B),(B),,,,385(B)
385(C),PC,USE/ETC EQUP:NO SIGN:VOLT,M,1947-09-19,,385,(C),(C),,,,385(C)
386(A),PC,INOP/ETC FIRE PROTECT SYS,F,1988-01-01,,386,(A),(A),,,,386(A)
386(B),PC,INOP FIRE PROTECT SYS GBI,F,1988-01-01,,386,(B),(B),,,,386(B)
387(A),PC,UNSAFE BUS PRAC:GBH/DEATH,F,1991-01-01,,387,(A),(A),,,,387(A)
387(A),PC,UNSAFE BUS PRAC GBH/DTH,M,1991-01-01,,387,(A),(A),,,,387(A)
395,PC,MARKET PRICE FRAUD,M,1872-01-01,,395,,,,,,395
396(B),PC,PRICE GOUG:GOODS/ETC:EMER,M,1995-01-01,,396,(B),(B),,,,396(B)
396(C),PC,PRICE GOUG:RPAIR/ETC:EMER,M,1995-01-01,,396,(C),(C),,,,396(C)
396(D),PC,PRICE GOUGE MTL RNT EMERG,M,1995-01-01,,396,(D),(D),,,,396(D)
396(E),PC,INCRS RENT 10+PERC EMRGNC,M,2019-01-01,,396,(E),(E),,,,396(E)
396(F),PC,EVICT TENANT DUR EMERGNCY,M,2019-01-01,,396,(F),(F),,,,396(F)
396.5,PC,UNLAWFUL USE FOOD STAMPS,M,1980-01-01,,396.5,,,,,,396.5
397,PC,LIQUOR TO DRUNKARD,M,1953-09-09,2020-11-24,397,,,,,,397
397,PC,FURN LIQUOR DRUNKARD/ETC,M,2020-11-25,,397,,,,,,397
398,MV,TRESPASS: OFF LIMIT AREA,M,1947-09-19,,398,,,,,,398
399,PC,OWNERS ANIMAL CAUSE DEATH,F,1872-01-01,2020-11-11,399,,,,,,399
399(A),PC,OWNER NEG: ANML CAUS DTH,F,2020-11-12,,399,(A),(A),,,,399(A)
399(B),PC,OWNER/ETC:ANML CAUSE DTH,F,1872-01-01,2020-10-27,399,(B),(B),,,,399(B)
399(B),PC,OWNER/ETC:ANML CAUSE DTH,M,1872-01-01,2020-10-27,399,(B),(B),,,,399(B)
399(B),PC,OWNER/ETC: ANIMAL SBI/DTH,F,2020-10-28,,399,(B),(B),,,,399(B)
399(B),PC,OWNER/ETC: ANML CAUSE SBI,M,2020-10-28,,399,(B),(B),,,,399(B)
399.5(A),PC,DOG FIGHT-TRAIND CAUS INJ,M,1985-01-01,,399.5,(A),(A),,,,399.5(A)
399.5(A),PC,DOG TRAINED:FIGHT/ETC:INJ,F,2000-01-01,,399.5,(A),(A),,,,399.5(A)
401,PC,AIDING SUICIDE,F,1905-01-01,2020-11-13,401,,,,,,401
401(A),PC,AID/ADVISE/ETC SUICIDE,F,2020-11-16,,401,(A),(A),,,,401(A)
402(A),PC,STOP/ETC:EMERGENCY SCENE,M,1990-01-01,2016-12-31,402,(A),(A),,,,402(A)
402(A)(1),PC,STOP/ETC:EMERGENCY SCENE,M,2017-01-01,,402,(A)(1),(A),(1),,,402(A)(1)
402(A)(2),PC,INTRF EMERG W/DRONE/ETC,M,2017-01-01,,402,(A)(2),(A),(2),,,402(A)(2)
402(B),PC,INTRF/ETC W/LIFGARD:EMERG,M,1990-01-01,,402,(B),(B),,,,402(B)
402A,PC,ADULTERATION OF CANDY,M,1905-01-01,,402A,,,,,,402A
402B,PC,DISCARD APPLIANCE W/LOCK,M,1951-09-22,,402B,,,,,,402B
402C,PC,SELL NEW REFRIG W/O LOCK,M,1968-11-13,,402C,,,,,,402C
403,PC,DISTURB/ETC ASSEMBLY/ETC,M,1872-01-01,,403,,,,,,403
404(A),PC,RIOTING,M,1979-01-01,,404,(A),(A),,,,404(A)
404.6(A),PC,CAUSE RIOT:DESTROY PROP,M,1993-01-01,2020-11-08,404.6,(A),(A),,,,404.6(A)
404.6(A),PC,INCITEMENT TO RIOT/ETC,M,2020-11-09,,404.6,(A),(A),,,,404.6(A)
404.6(C),PC,RIOT IN JAIL/PRISON/ETC,M,1999-01-01,,404.6,(C),(C),,,,404.6(C)
404.6(C),PC,RIOT IN PRISON/JAIL/ETC,F,1999-01-01,,404.6,(C),(C),,,,404.6(C)
405,PC,RIOTS,M,1872-01-01,,405,,,,,,405
405A,PC,LYNCHING,F,1933-08-21,2015-12-31,405A,,,,,,405A
405A,PC,RIOT TAKE FROM PEACE OFF,F,2016-01-01,,405A,,,,,,405A
405B,PC,LYNCHING,F,1933-08-21,2015-12-31,405B,,,,,,405B
406,PC,ROUTING,M,1872-01-01,,406,,,,,,406
407,PC,UNLAWFUL ASSEMBLY,M,1872-01-01,,407,,,,,,407
408,PC,ROUT/UNLAWFUL ASSEMBLY,M,1872-01-01,,408,,,,,,408
409,PC,REMAIN AT SCENE:RIOT/ETC,M,1872-01-01,,409,,,,,,409
409(H),MV,SEIZE PER PROP TERM LEASE,M,2019-01-01,,409,(H),(H),,,,409(H)
409.5(C),PC,ENTER DISASTER AREA,M,1969-11-10,,409.5,(C),(C),,,,409.5(C)
409.6(C),PC,UNAUTH ENTRY EVAC AVALNCH,M,1984-01-01,,409.6,(C),(C),,,,409.6(C)
410,PC,NEGLECT/REFUSE TO DISPERS,M,1872-01-01,,410,,,,,,410
412,PC,ILLEGAL PRIZE FIGHTING,M,1914-01-01,,412,,,,,,412
413,PC,PRESENT AT ILLEGAL FIGHT,M,1914-01-01,,413,,,,,,413
414,PC,LEAVE STATE TO PRIZEFIGHT,M,1872-01-01,,414,,,,,,414
415(1),PC,FIGHT IN PUBLIC PLACE,M,1977-01-01,,415,(1),(1),,,,415(1)
415(1),PC,FIGHT/ETC IN PUBLIC PLACE,I,1977-01-01,,415,(1),(1),,,,415(1)
415(2),PC,UNREASONABLE NOISE,M,1977-01-01,,415,(2),(2),,,,415(2)
415(2),PC,LOUD/UNREASONABLE NOISE,I,1977-01-01,,415,(2),(2),,,,415(2)
415(3),PC,OFFENSIVE WORDS:PUBLIC PL,M,1977-01-01,,415,(3),(3),,,,415(3)
415(3),PC,OFFENSIVE WORDS IN PUB PL,I,1977-01-01,,415,(3),(3),,,,415(3)
415.5(A)(1),PC,FIGHT/ETC AT SCH/UNIV/ETC,M,1989-01-01,,415.5,(A)(1),(A),(1),,,415.5(A)(1)
415.5(A)(2),PC,LOUD/UNREAS NOISE UNV/ETC,M,1989-01-01,,415.5,(A)(2),(A),(2),,,415.5(A)(2)
415.5(A)(3),PC,OFFENSIVE WORDS UNIV/ETC,M,1989-01-01,,415.5,(A)(3),(A),(3),,,415.5(A)(3)
416(A),PC,REFUSE TO DISPERSE,M,1990-01-01,,416,(A),(A),,,,416(A)
417(A)(1),PC,EXHIBIT DEADWPN:NOT F/ARM,M,1982-04-25,,417,(A)(1),(A),(1),,,417(A)(1)
417(A)(2),PC,EXHIBIT FIREARM,M,1982-04-25,2020-11-13,417,(A)(2),(A),(2),,,417(A)(2)
417(A)(2)(A),PC,EXHBT CONCLD F/ARM IN PUB,M,2020-11-16,,417,(A)(2)(A),(A),(2),(A),,417(A)(2)(A)
417(A)(2)(B),PC,EXHBT F/ARM THRTNG MANNER,M,1982-04-25,,417,(A)(2)(B),(A),(2),(B),,417(A)(2)(B)
