_geocodio_number,_geocodio_street,_geocodio_city,_geocodio_state,_geocodio_zip,_geocodio_street_address,_project_types,_org_names,_org_ids,_subcategory,_category,_parsed,_coc_ids
1742,S LEWIS RD,CAMARILLO,CA,93012,1742 S LEWIS RD,PSH,Villa Calleguas,10207,permanent supportive housing,sheltered,"1742 S LEWIS RD, CAMARILLO, CA, 93012",CA-611
17428,W MAIN ST,MONROE,WA,98272,17428 W MAIN ST,OPH; PSH,Monroe Family Village (PSH); Monroe Family Village; HH-Monroe Family Village-PSH,8932,mixed support,sheltered,"17428 W MAIN ST, MONROE, WA, 98272",WA-504
1743,N PARK AVE,POMONA,CA,91768,1743 N PARK AVE,RRH,IHP HEAP Rapid Re-Housing (RR-H),11901,rapid rehousing,sheltered,"1743 N PARK AVE, POMONA, CA, 91768",CA-609
1744,10TH AVE,LONGVIEW,WA,98632,1744 10TH AVE,TH,4 the Long View; SAC4 the Long View (PIT) Transitional Housing,5850,transitional housing,sheltered,"1744 10TH AVE, LONGVIEW, WA, 98632",WA-501
1744,UNIVERSITY AVE,BERKELEY,CA,94703,1744 UNIVERSITY AVE,ES,YEAH! Winter Shelter; YEAH! Shelter,38932; 13318,emergency shelter,unhoused,"1744 UNIVERSITY AVE, BERKELEY, CA, 94703",CA-502
17442,DAIRYVIEW CIR,HUNTINGTON BEACH,CA,92647,17442 DAIRYVIEW CIR,TH,Dairyview,11204,transitional housing,sheltered,"17442 DAIRYVIEW CIR, HUNTINGTON BEACH, CA, 92647",CA-602
1745,WILCOX AVE,LOS ANGELES,CA,90028,1745 WILCOX AVE,TH; PSH,TAY Independent Living Program,11075,mixed support,sheltered,"1745 WILCOX AVE, LOS ANGELES, CA, 90028",CA-600
175,6TH ST,SAN FRANCISCO,CA,94103,175 6TH ST,OPH; PSH,Alder Hotel,2483,mixed support,sheltered,"175 6TH ST, SAN FRANCISCO, CA, 94103",CA-501
175,MAIN ST,QUINCY,CA,95971,175 MAIN ST,TH,Ohana House,38692,transitional housing,sheltered,"175 MAIN ST, QUINCY, CA, 95971",CA-516
175,S LENA RD,SAN BERNARDINO,CA,92408,175 S LENA RD,RRH,TAD HEAP Family Stabilization Program (RR-H),8400,rapid rehousing,sheltered,"175 S LENA RD, SAN BERNARDINO, CA, 92408",CA-609
175,S VENTURA AVE,VENTURA,CA,93001,175 S VENTURA AVE,PSH,Shore at WAV,9565,permanent supportive housing,sheltered,"175 S VENTURA AVE, VENTURA, CA, 93001",CA-611
175,WALNUT ST,WOODLAND,CA,95695,175 WALNUT ST,RRH; ES,Prop 47 - Rapid Re-Housing; Emergency Shelter for Victims of Crime; Prop 47 - Motels/Hotels,32460,mixed support,sheltered,"175 WALNUT ST, WOODLAND, CA, 95695",CA-521
1751,CARROLL AVE,SAN FRANCISCO,CA,94124,1751 CARROLL AVE,PSH,Dr. Davis Senior Community- HUD PBV; Dr. Davis Senior Residence,42024,permanent supportive housing,sheltered,"1751 CARROLL AVE, SAN FRANCISCO, CA, 94124",CA-501
1751,CLOVERFIELD BLVD,SANTA MONICA,CA,90404,1751 CLOVERFIELD BLVD,RRH; TH; SH; ES,DMH Interim Housing Cloverfield/Daybreak; SSVF RRH (OPCC Subcontractor); Daybreak Transitional; CA0527 Westside Safe Haven - Residential Program; Daybreak Emergency Shelter; Cloverfield Daybreak Emergency Shelter; CES RRH Individuals SPA 5; Westside Safe Haven,32598; 41832; 5113; 32599,mixed support,sheltered,"1751 CLOVERFIELD BLVD, SANTA MONICA, CA, 90404",CA-600
1752,DREW CIR,DAVIS,CA,95618,1752 DREW CIR,PSH,Supported Housing (Merged); Supported Housing 2,7974,permanent supportive housing,sheltered,"1752 DREW CIR, DAVIS, CA, 95618",CA-521
1752,TEHAMA ST,REDDING,CA,96001,1752 TEHAMA ST,TH,Samaritan House,39934,transitional housing,sheltered,"1752 TEHAMA ST, REDDING, CA, 96001",CA-516
1753,CARROLL AVE,SAN FRANCISCO,CA,94124,1753 CARROLL AVE,ES,HCHV - BHPMSS,42024,emergency shelter,unhoused,"1753 CARROLL AVE, SAN FRANCISCO, CA, 94124",CA-501
1753,N PARK AVE,POMONA,CA,91768,1753 N PARK AVE,RRH; ES,IHP CoC Family Stabilization Program (RR-H); Our House Shelter,11901; 8973,mixed support,sheltered,"1753 N PARK AVE, POMONA, CA, 91768",CA-609; CA-600
1754,TAFT AVE,LOS ANGELES,CA,90028,1754 TAFT AVE,ES,CES Crisis Housing Program Taft Youth,4338,emergency shelter,unhoused,"1754 TAFT AVE, LOS ANGELES, CA, 90028",CA-600
1755,BROADWAY,OAKLAND,CA,94612,1755 BROADWAY,RRH; TH,My First Place RRH; FP-NYA-TH-Oakland PATH Re-Housing Initiative; FP-OA-TH-Oakland Homeless Youth Housing Collaborative-CoC,8628,mixed support,sheltered,"1755 BROADWAY, OAKLAND, CA, 94612",CA-502
1755,E HUNTINGTON DR,DUARTE,CA,91010,1755 E HUNTINGTON DR,RRH; PSH; ES,FSC Rapid Re-Housing; USHS SPA 3 Scattered Site PSH LACDA 2; Coordinated Assessment Motel Vouchers; USHS SPA 3 Scattered Site PSH - HACoLA 1; USHS SPA 3 Scattered Site PSH HACoLA 2; USHS FSC Rapid Re-housing; USHS SPA 3 Scattered Site PSH LACDA 1; USHS SPA 3 Scattered Site PSH HACoLA 1,28993,mixed support,sheltered,"1755 E HUNTINGTON DR, DUARTE, CA, 91010",CA-600
1756,NW 56TH ST,SEATTLE,WA,98107,1756 NW 56TH ST,PSH,Nyer Urness-NON HUD; Nyer Urness - CoC; Nyer Urness House,1657,permanent supportive housing,sheltered,"1756 NW 56TH ST, SEATTLE, WA, 98107",WA-500
1759,HESTER AVE,SAN JOSE,CA,95128,1759 HESTER AVE,PSH,InnVision Shelter Network Safe Haven Permanent Housing for Women (Hester Project)(1408); LifeMoves-SH-Hester Project,8977,permanent supportive housing,sheltered,"1759 HESTER AVE, SAN JOSE, CA, 95128",CA-500
17600,S SANTA FE AVE,COMPTON,CA,90221,17600 S SANTA FE AVE,ES,Cal Works Homeless Assistance Program* - 31 South Family; Cal Works Homeless Assistance Program 31 South Family; Cal Works Homeless Assistance Program 31 South Family (Vouchers),18705,emergency shelter,unhoused,"17600 S SANTA FE AVE, COMPTON, CA, 90221",CA-600
17600,SANTA FE AVE,COMPTON,CA,90221,17600 SANTA FE AVE,ES,Cal Works Homeless Assistance Program* - 31 South Family,18705,emergency shelter,unhoused,"17600 SANTA FE AVE, COMPTON, CA, 90221",CA-600
1761,WASHINGTON WAY,VENICE,CA,90291,1761 WASHINGTON WAY,TH,Bible Tabernacle - Transitional Housing,886,transitional housing,sheltered,"1761 WASHINGTON WAY, VENICE, CA, 90291",CA-600
17615,163RD PL SE,MONROE,WA,98272,17615 163RD PL SE,TH,Cascade House,23003,transitional housing,sheltered,"17615 163RD PL SE, MONROE, WA, 98272",WA-504
1763,E IMPERIAL HWY,LOS ANGELES,CA,90059,1763 E IMPERIAL HWY,PSH,PBV Westmont Vista,6738,permanent supportive housing,sheltered,"1763 E IMPERIAL HWY, LOS ANGELES, CA, 90059",CA-600
1765,S LA CIENEGA BLVD,LOS ANGELES,CA,90035,1765 S LA CIENEGA BLVD,TH,VS-90 Vets released from incarceration,7278,transitional housing,sheltered,"1765 S LA CIENEGA BLVD, LOS ANGELES, CA, 90035",CA-600
1767,S WILLIAM MILLER DR,ANAHEIM,CA,92804,1767 S WILLIAM MILLER DR,TH,Women's Transitional Housing,8732,transitional housing,sheltered,"1767 S WILLIAM MILLER DR, ANAHEIM, CA, 92804",CA-602
177,DAY ISLAND RD,EUGENE,OR,97401,177 DAY ISLAND RD,PSH,Madrone; HUD-VASH; VASH LC VASH Section 8; Shelter Plus Care CoC,8761,permanent supportive housing,sheltered,"177 DAY ISLAND RD, EUGENE, OR, 97401",OR-500
1770,MAGNOLIA DR,YUBA CITY,CA,95991,1770 MAGNOLIA DR,ES,Buddy's House,,emergency shelter,unhoused,"1770 MAGNOLIA DR, YUBA CITY, CA, 95991",CA-524
1770,N BROADWAY,SANTA ANA,CA,92706,1770 N BROADWAY,OPH; PSH,2010 Shelter Plus Care Mercy House; Oakcrest Heights; 2006 Shelter Plus Care TRA Renewal Project; 2009 New Shelter Plus Care TRA Project; Shelter Plus Care TRA Consolidated #1 Renewal; 2002 Shelter Plus Care TRA Renewal Project; VASH; New Shelter Plus Care TRA PHBP; Shelter Plus Care Colette's Children's Home; Volunteers of America SRA Project; 2008 Shelter Plus Care TRA Project; VASH Project-Based Vouchers - Newport Veteran's Housing; 2005 Shelter Plus Care TRA Renewal Project; 2003 Shelter Plus Care TRA Renewal Project; New Shelter Plus Care TRA Samaritan Housing; Avenida Project Based Vouchers; Shelter Plus Care TRA 2007 Project; Homeless Preference Housing Choice Voucher Program Vouchers; 2004 Shelter Plus Care TRA Renewal Project,11202,mixed support,sheltered,"1770 N BROADWAY, SANTA ANA, CA, 92706",CA-602
17701,COWAN,IRVINE,CA,92614,17701 COWAN,PSH,SUS PSH Collaboration II,4661,permanent supportive housing,sheltered,"17701 COWAN, IRVINE, CA, 92614",CA-602
1776,SW MADISON ST,PORTLAND,OR,97205,1776 SW MADISON ST,RRH; PSH,"NARA - CCC - HOPE (4997); NARA - STRA - EHA-OTO - RRH (5717); NARA - STRA  RRH (5717, 5571); NARA - STRA  RRH (5571)",12022,mixed support,sheltered,"1776 SW MADISON ST, PORTLAND, OR, 97205",OR-501
17839,AURORA AVE N,SHORELINE,WA,98133,17839 AURORA AVE N,OPH; PSH,Ronald Commons; Ronald Commons - Veterans; Ronald Commons - CoC,1657,mixed support,sheltered,"17839 AURORA AVE N, SHORELINE, WA, 98133",WA-500
179,LAWRENCE ST,QUINCY,CA,95971,179 LAWRENCE ST,TH,Transitional Housing Program; Mental Health Transitional Housing,38692,transitional housing,sheltered,"179 LAWRENCE ST, QUINCY, CA, 95971",CA-516
1790,W 11TH AVE,EUGENE,OR,97402,1790 W 11TH AVE,RRH; ES,Youth EHA RRH; McKenzie RRH; Station 7; EHA RRH,4115,mixed support,sheltered,"1790 W 11TH AVE, EUGENE, OR, 97402",OR-500
1791,NE 1ST AVE,OAK HARBOR,WA,98277,1791 NE 1ST AVE,RRH; ES,IOCSSVF RRH; IOCHSSP ES Vouchers; IOCHOME TBRA RRH; IOCRapid Re-housing; IOCEnding Family Homelessness RRH; IOCHEN Housing Grant RRH,4898; 42946,mixed support,sheltered,"1791 NE 1ST AVE, OAK HARBOR, WA, 98277",WA-501
17925,MONTEREY RD,MORGAN HILL,CA,95037,17925 MONTEREY RD,PSH,Sobrato Transitional Perm Housing (HACSC); Eden Housing - Royal Court Apartments(3290),30848,permanent supportive housing,sheltered,"17925 MONTEREY RD, MORGAN HILL, CA, 95037",CA-500
17972,SKY PARK CIR,IRVINE,CA,92614,17972 SKY PARK CIR,RRH; TH,OCIS Rapid Re-housing; OCIS Rapid Re-Housing Program; Transitional Housing Program,4899; 41779,mixed support,sheltered,"17972 SKY PARK CIR, IRVINE, CA, 92614",CA-602
17982,SKY PARK CIR,IRVINE,CA,92614,17982 SKY PARK CIR,TH; ES,Transitional Housing Program; Short Term Supportive Housing,288,mixed support,sheltered,"17982 SKY PARK CIR, IRVINE, CA, 92614",CA-602
18,E SOLA ST,SANTA BARBARA,CA,93101,18 E SOLA ST,PSH,S/A Sola Street,15086,permanent supportive housing,sheltered,"18 E SOLA ST, SANTA BARBARA, CA, 93101",CA-603
18,MUIR LN,WILLITS,CA,95490,18 MUIR LN,PSH,SOPH,,permanent supportive housing,sheltered,"18 MUIR LN, WILLITS, CA, 95490",CA-509
18,NE 11TH AVE,PORTLAND,OR,97232,18 NE 11TH AVE,TH; ES,GPD -Transition Projects Inc. - Jean's Place (3362); Transition Projects Inc. - Jean's Place (29); Transition Projects Inc. - Jean's Place - HUD Levels 2 and 3 (2805); Transition Projects (TPI) - Jean's Place L2 (HUD) - SP(2805),7352,mixed support,sheltered,"18 NE 11TH AVE, PORTLAND, OR, 97232",OR-501
18,SW BOUNDARY CT,PORTLAND,OR,97239,18 SW BOUNDARY CT,TH,Transitional Living Program (CoC Program),16476,transitional housing,sheltered,"18 SW BOUNDARY CT, PORTLAND, OR, 97239",OR-506
180,DENNY WAY,SEATTLE,WA,98109,180 DENNY WAY,ES,Blaine Center; First United Methodist Church,1657,emergency shelter,unhoused,"180 DENNY WAY, SEATTLE, WA, 98109",WA-500
180,E OCEAN BLVD,LONG BEACH,CA,90802,180 E OCEAN BLVD,RRH,SSVF RRH 18CA419; SSVF RRH 12CA017,9724,rapid rehousing,sheltered,"180 E OCEAN BLVD, LONG BEACH, CA, 90802",CA-600
180,W BEAMER ST,WOODLAND,CA,95695,180 W BEAMER ST,RRH; PSH,West Beamer Place - CalWORKs/Families; West Beamer Place - PSH,38859,mixed support,sheltered,"180 W BEAMER ST, WOODLAND, CA, 95695",CA-521
1800,E 85TH ST,LOS ANGELES,CA,90001,1800 E 85TH ST,TH,Immanuel House of Hope,29010,transitional housing,sheltered,"1800 E 85TH ST, LOS ANGELES, CA, 90001",CA-600
1800,W 11TH ST,LOS ANGELES,CA,90006,1800 W 11TH ST,PSH,Casa Carmen,5405,permanent supportive housing,sheltered,"1800 W 11TH ST, LOS ANGELES, CA, 90006",CA-600
1801,E 31ST ST,TACOMA,WA,98404,1801 E 31ST ST,PSH,CCS - Bridges Village; Bridges Village,8147,permanent supportive housing,sheltered,"1801 E 31ST ST, TACOMA, WA, 98404",WA-503
1801,HEWITT AVE,EVERETT,WA,98201,1801 HEWITT AVE,OPH,Commerce Building 8 SRO; Commerce Building Homeless SRO,8932,OPH,sheltered,"1801 HEWITT AVE, EVERETT, WA, 98201",WA-504
1801,LAKE SHORE AVE,LOS ANGELES,CA,90026,1801 LAKE SHORE AVE,TH; ES,GPD - Billets; TWC FSC Crisis Housing Safe Families,7278; 41205; 28847,mixed support,sheltered,"1801 LAKE SHORE AVE, LOS ANGELES, CA, 90026",CA-600
18015,63RD AVE NE,KENMORE,WA,98028,18015 63RD AVE NE,ES,Kenmore Family Shelter; Kenmore Shelter,3301,emergency shelter,unhoused,"18015 63RD AVE NE, KENMORE, WA, 98028",WA-500
1802,W GARDNER AVE,SPOKANE,WA,99201,1802 W GARDNER AVE,TH,VOA--TH--YAHP; SNAP--TH--YAHP,7261; 10716,transitional housing,sheltered,"1802 W GARDNER AVE, SPOKANE, WA, 99201",WA-502
1803,MAIN ST,KLAMATH FALLS,OR,97601,1803 MAIN ST,ES; RRH; OPH; PSH,KLCAS - KLA - EHA - RRH (6760) [ROCC]; KLCAS-KC-OHCS-ESGP2015-RRH-RA (5176) [ROCC]; KLCAS - KLA - COC - Home Matters - PH-OPH (4867) [ROCC; CAPO - SSVF - 18-OR-403 - RRH (5041) [KLCAS]; KLCAS - OHCS - ESG Youth 2017 - RRH (6504) [ROCC]; KLCAS - HIC - KC - Sprague River ES (7032) [ROCC]; KLCAS-KC - ODVA Vet Lottery Funds - RRH (6543) [ROCC]; KLCAS - Thrive Church Warming Center ES (7022); KLCAS - EHA - RRH (6760) [ROCC]; KLCAS - KL - SSVF - C2015-OR-505A - RRH (5041) [ROCC]; KLCAS - HIC - KC - Chemult ES (7030) [ROCC]; KLCAS-KC-OHCS-ESGP2014-RRH-RA (4701)  [ROCC]; KLCAS - LA - SSVF - C2015-OR-505A - RRH (5042) [ROCC]; KLCAS - OHCS-ESGP\RRH (5176); KLCAS - HIC - KC - Crescent ES (7028) [ROCC]; KLCAS -KLA -  EHA VET DRF - RRH (6761) [ROCC]; KLCAS - ERA - RRH (6151) [ROCC]; KLCAS - KLA - COC - Home Matters - PHS (6144) [ROCC]; KLCAS - Trailsview - PSH - SHELTERPOINT (3786) [ROCC],32747,mixed support,sheltered,"1803 MAIN ST, KLAMATH FALLS, OR, 97601",OR-505
1803,NAUSIKA AVE,ROWLAND HEIGHTS,CA,91748,1803 NAUSIKA AVE,ES,Gospel Missions of America,8718,emergency shelter,unhoused,"1803 NAUSIKA AVE, ROWLAND HEIGHTS, CA, 91748",CA-600
1805,W 9TH AVE,SPOKANE,WA,99204,1805 W 9TH AVE,TH; PSH,Miryam's House Permanent Supportive Housing Program; Miryam's House Private Fund TH; Transitions--PSH--Miryam's House; Transitions--TH--Private Fund--Miryam's House; Transitions--PSH--Miryams House; Miryam's House Transitional Housing Program; Transitions--TH--Miryam's House; Transitions--TH--Miryams House,7356,mixed support,sheltered,"1805 W 9TH AVE, SPOKANE, WA, 99204",WA-502
18088,SE MARKET ST,PORTLAND,OR,97233,18088 SE MARKET ST,PSH,CCC - Alpha Apartments (2839),1391,permanent supportive housing,sheltered,"18088 SE MARKET ST, PORTLAND, OR, 97233",OR-501
1809,BOUETT ST,LOS ANGELES,CA,90012,1809 BOUETT ST,TH,Serra Project Casa Madona; Alliance for Housing and Healing dba The Serra Project,38272; 41903,transitional housing,sheltered,"1809 BOUETT ST, LOS ANGELES, CA, 90012",CA-600
181,CONSTITUTION DR,MENLO PARK,CA,94025,181 CONSTITUTION DR,PSH; TH; ES,LifeMoves-OSC-ES-Hotel de Zink Enhanced Emergency Shelter; LifeMoves-SH-Rolison Inn; LifeMoves-OSC-ES-Hotel de Zink; InnVision Shelter Network Samaritan Inns- Single Units(1870); InnVision Shelter Network (OC) Hotel de Zink Enhanced Emergency Shelter Beds(3364); InnVision Shelter Network No. SCC Supportive Housing Coalition- Rolison Inn(1846); InnVision Shelter Network North County Inns(1421); InnVision Shelter Network Samaritan Inns- Family Units(1869); InnVision Shelter Network - Motel Voucher(3365); InnVision Shelter Network CalWorks Program(3391); LifeMoves-Villa-TH-Abode / Calworks Program; InnVision Shelter Network (OC) Hotel de Zink(91),8977,mixed support,sheltered,"181 CONSTITUTION DR, MENLO PARK, CA, 94025",CA-500
181,E SHASTA AVE,CHICO,CA,95973,181 E SHASTA AVE,TH; PSH,Esplanade House TH - Phase 1; Esplanade House TH - Phase 1(non-HUD funded); Esplanade House TH; Esplanade House PH - Phase 2; Esplanade House  Shelter Plus Care 13,3813; 1609,mixed support,sheltered,"181 E SHASTA AVE, CHICO, CA, 95973",CA-519
181,SE O'LEARY ST,OAK HARBOR,WA,98277,181 SE O'LEARY ST,PSH,O'Leary House,1658,permanent supportive housing,sheltered,"181 SE O'LEARY ST, OAK HARBOR, WA, 98277",WA-501
1811,EASTLAKE AVE,SEATTLE,WA,98101,1811 EASTLAKE AVE,PSH,1811 Eastlake; 1811 Eastlake - Section 8 Project Based; 1811 Eastlake - CoC,2375,permanent supportive housing,sheltered,"1811 EASTLAKE AVE, SEATTLE, WA, 98101",WA-500
1814,MINOR AVE,SEATTLE,WA,98101,1814 MINOR AVE,OPH; TH,Arion Court; GPD Arion Court TH; GPD - Arion Court,4227,mixed support,sheltered,"1814 MINOR AVE, SEATTLE, WA, 98101",WA-500
1815,ARNOLD DR,MARTINEZ,CA,94553,1815 ARNOLD DR,PSH,Turning Point Permanent Housing; Transitional Housing Partnership-Permanent Housing; Permanent Step,6173,permanent supportive housing,sheltered,"1815 ARNOLD DR, MARTINEZ, CA, 94553",CA-505
1816,S FIGUEROA ST,LOS ANGELES,CA,90015,1816 S FIGUEROA ST,PSH,CA0421 Consolidated DMVA,11059,permanent supportive housing,sheltered,"1816 S FIGUEROA ST, LOS ANGELES, CA, 90015",CA-600
1819,GRISMER AVE,BURBANK,CA,91504,1819 GRISMER AVE,TH,Puerta Nueva Transitional Facility; Home Front; Burbank Veteran Bungalows; Linden House,11087,transitional housing,sheltered,"1819 GRISMER AVE, BURBANK, CA, 91504",CA-600
182,SW ACADEMY ST,DALLAS,OR,97338,182 SW ACADEMY ST,RRH,MWVCAA - PC - Resource Services - RRH (6478)[ROCC],30984,rapid rehousing,sheltered,"182 SW ACADEMY ST, DALLAS, OR, 97338",OR-505
1820,BERRY ST SE,SALEM,OR,97302,1820 BERRY ST SE,TH; ES,MWVCAA - St. Francis New SHAP 16 - ES (5712) [ROCC; St. Francis A Safe Place for Families - TH; MWVCAA-HIC-St. Francis Shelter-TH (4128) [ROCC],43069; 30984; 6254; 31812,mixed support,sheltered,"1820 BERRY ST SE, SALEM, OR, 97302",OR-505; OR-504
1820,MAIN ST,SANTA CLARA,CA,95050,1820 MAIN ST,PSH,SCC MHD - MHSA Belovida Santa Clara(2908); SCC MHD - MHSA Belovida Santa Clara,5902,permanent supportive housing,sheltered,"1820 MAIN ST, SANTA CLARA, CA, 95050",CA-500
1821,PINER RD,SANTA ROSA,CA,95403,1821 PINER RD,TH; ES,Men's New Life Recovery Program; Nomadic Shelter; Men's New Life Program; Nomadic Shelter (Seasonal),5980,mixed support,sheltered,"1821 PINER RD, SANTA ROSA, CA, 95403",CA-504
1822,MANOR DR,SANTA ROSA,CA,95403,1822 MANOR DR,PSH,Henry House,1161,permanent supportive housing,sheltered,"1822 MANOR DR, SANTA ROSA, CA, 95403",CA-504
1824,4TH AVE,LOS ANGELES,CA,90019,1824 4TH AVE,TH,Gramercy Court; CA0384 Gramercy Court,11046,transitional housing,sheltered,"1824 4TH AVE, LOS ANGELES, CA, 90019",CA-600
1828,YALE AVE,SEATTLE,WA,98101,1828 YALE AVE,ES,Young Adult Shelter - Transition; Orion Shelter; Young Adult Shelter,7635,emergency shelter,unhoused,"1828 YALE AVE, SEATTLE, WA, 98101",WA-500
183,SE 6TH AVE,HILLSBORO,OR,97123,183 SE 6TH AVE,ES,FamilyPromise of Washington County-Interfaith Host Sites; Family Promise Shelter - Shelter Network Provider at Interfaith Host Sites,2692,emergency shelter,unhoused,"183 SE 6TH AVE, HILLSBORO, OR, 97123",OR-506
1830,4TH AVE,SAN DIEGO,CA,92101,1830 4TH AVE,OPH,West Park (7036),11962,OPH,sheltered,"1830 4TH AVE, SAN DIEGO, CA, 92101",CA-601
1830,9TH AVE,SEATTLE,WA,98101,1830 9TH AVE,ES,White Center Shelter; Mary's Place Regrade; Bianca's Place; Shoreline Center; Rotating Night Shelter; Mary's Place Guest Rooms; Mary's Place Family Center Shelter; RES - Burien; Shoreline Shelter; Small Scattered Sites; Mary's Place Emergency Family Shelter; Northshore Shelter,31878,emergency shelter,unhoused,"1830 9TH AVE, SEATTLE, WA, 98101",WA-500
18317,ARMINTA ST,RESEDA,CA,91335,18317 ARMINTA ST,TH,HIV Transitional Housing Program,28956,transitional housing,sheltered,"18317 ARMINTA ST, RESEDA, CA, 91335",CA-600
1835,ALCATRAZ AVE,BERKELEY,CA,94703,1835 ALCATRAZ AVE,OPH; PSH,Columbia Park Manor; Amistad House; Newark Gardens PSH,44259; 274,mixed support,sheltered,"1835 ALCATRAZ AVE, BERKELEY, CA, 94703",CA-502; CA-505
18355,NE 98TH WAY,REDMOND,WA,98052,18355 NE 98TH WAY,TH,Avondale Park II (Redmond); Avondale Park TH-Subsidized,3301,transitional housing,sheltered,"18355 NE 98TH WAY, REDMOND, WA, 98052",WA-500
1838,ALTA ST,REDLANDS,CA,92374,1838 ALTA ST,ES,Redlands Cold Weather,6631,emergency shelter,unhoused,"1838 ALTA ST, REDLANDS, CA, 92374",CA-609
1838,SW JEFFERSON ST,PORTLAND,OR,97201,1838 SW JEFFERSON ST,ES,Human Solutions: Goose Hollow (6270),3708,emergency shelter,unhoused,"1838 SW JEFFERSON ST, PORTLAND, OR, 97201",OR-501
184,S 11TH ST,SAN JOSE,CA,95112,184 S 11TH ST,TH; ES,LifeMoves-Villa-TH-Re-entry Families with Children; InnVision Shelter Network Villa Singles*(1900); LifeMoves-Villa-TH-VillaSingles; InnVision Shelter Network Villa Women & Children(1901); LifeMoves-Villa-TH-Abode / Calworks Program; LifeMoves-Villa-TH-Women & Children; LifeMoves-Villa-ES-VillaSingles (formerly LifeMoves-Villa-TH-VillaSingles); InnVision Shelter Network Villa Re-entry Program Families with Children TH(3316); LifeMoves-Villa-ES-Women & Children (formerly LifeMoves-Villa-TH-Women & Children); LifeMoves-Villa-ES-Abode / Calworks Program (formerly LifeMoves-Villa-TH-Abode / Calworks Program),8977,mixed support,sheltered,"184 S 11TH ST, SAN JOSE, CA, 95112",CA-500
1840,4TH AVE,SAN DIEGO,CA,92101,1840 4TH AVE,OPH,Quality Inn (7035),11962,OPH,sheltered,"1840 4TH AVE, SAN DIEGO, CA, 92101",CA-601
1840,WARREN LN,PLACERVILLE,CA,95667,1840 WARREN LN,TH,Mentor House,2930,transitional housing,sheltered,"1840 WARREN LN, PLACERVILLE, CA, 95667",CA-525
1841,TYBURN ST,GLENDALE,CA,91204,1841 TYBURN ST,PSH; ES,Next Step Program; Emergency Shelter; Ascencia Scattered Site Permanent Housing Program,9499,mixed support,sheltered,"1841 TYBURN ST, GLENDALE, CA, 91204",CA-612
18435,NE 98TH WAY,REDMOND,WA,98052,18435 NE 98TH WAY,TH; ES,New Ground Avondale; Avondale Park Shelter; Avondale Park; New Ground Avondale Park; Avondale Park TH-Unsubsidized,2625; 3301,mixed support,sheltered,"18435 NE 98TH WAY, REDMOND, WA, 98052",WA-500
1845,N FAIR OAKS AVE,PASADENA,CA,91103,1845 N FAIR OAKS AVE,ES,HEAP PAS Motel Vouchers PPHD,43996,emergency shelter,unhoused,"1845 N FAIR OAKS AVE, PASADENA, CA, 91103",CA-607
1845,S COURT ST,VISALIA,CA,93277,1845 S COURT ST,TH,Visalia Re-entry Center; Visalia Reentry Center,10152,transitional housing,sheltered,"1845 S COURT ST, VISALIA, CA, 93277",CA-513
1849,CHANNING WAY,BERKELEY,CA,94703,1849 CHANNING WAY,PSH,Channing Way Apts.,649,permanent supportive housing,sheltered,"1849 CHANNING WAY, BERKELEY, CA, 94703",CA-502
18510,STONE AVE N,SHORELINE,WA,98133,18510 STONE AVE N,ES,Popsicle Place - Scattered Sites,31878,emergency shelter,unhoused,"18510 STONE AVE N, SHORELINE, WA, 98133",WA-500
1854,DIVISION ST,BEND,OR,97701,1854 DIVISION ST,TH; ES,Shepherd's House - Redmond; Shepherd's House; Shepherd's House Mens ES; The Shepherd's House men's TH; The Shepherd's House,6858,mixed support,sheltered,"1854 DIVISION ST, BEND, OR, 97701",OR-503
1854,E 118TH ST,LOS ANGELES,CA,90059,1854 E 118TH ST,PSH,PBV Springhaven,41982,permanent supportive housing,sheltered,"1854 E 118TH ST, LOS ANGELES, CA, 90059",CA-600
1858,BAY RD,EAST PALO ALTO,CA,94303,1858 BAY RD,ES,We H.O.P.E Shelter; WeHOPE Shelter,12403,emergency shelter,unhoused,"1858 BAY RD, EAST PALO ALTO, CA, 94303",CA-512
1858,MAIN ST,SANTA CLARA,CA,95050,1858 MAIN ST,PSH,[CCP Housing Maintenance] MHSA Belovida Santa Clara; SCC MHD - MHSA Belovida Santa Clara,5902; 42708,permanent supportive housing,sheltered,"1858 MAIN ST, SANTA CLARA, CA, 95050",CA-500
1859,CLAYTON WAY,CONCORD,CA,94519,1859 CLAYTON WAY,PSH,Mary McGovern House,6173,permanent supportive housing,sheltered,"1859 CLAYTON WAY, CONCORD, CA, 94519",CA-505
1859,N WESTERN AVE,SAN BERNARDINO,CA,92411,1859 N WESTERN AVE,RRH; ES,CC1 ESG State V (ES); CC1 ESG State (RR-H),39216,mixed support,sheltered,"1859 N WESTERN AVE, SAN BERNARDINO, CA, 92411",CA-609
18599,WYNESS DR,RED BLUFF,CA,96080,18599 WYNESS DR,TH; ES,Pathways Men's Transitional; PATH Sale House for Women; Path Winter Shelter,30642,mixed support,sheltered,"18599 WYNESS DR, RED BLUFF, CA, 96080",CA-527
18646,OXNARD ST,TARZANA,CA,91356,18646 OXNARD ST,RRH,CES RRH Individuals Tarzana; LFH FSC Rapid Re-Housing Tarzana,32433,rapid rehousing,sheltered,"18646 OXNARD ST, TARZANA, CA, 91356",CA-600
